"","budget","UT","BB","Extinct","rep","target","popInit","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1",1000,0,0,0,10,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"2",1000,0,0,0,20,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"3",1000,0,0,0,30,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"4",1000,0,0,0,40,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"5",1000,0,0,0,50,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"6",1000,0,0,0,60,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"7",1000,0,0,0,70,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"8",1000,0,0,0,80,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"9",1000,0,0,0,90,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"10",1000,0,0,0,100,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"11",1000,0.3,0.1,0,10,2000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1000,1000,1000,1100,1100,1000,1100,1100,1000,1100,1100,1000
"12",1000,0.3,0.1,0,20,2000,1000,1000,1000,1000,1000,1000,1100,1100,1000,1100,1100,1100,1000,1100,1100,1000,1100,1100,1000,1000,1100
"13",1000,0.3,0.1,0,30,2000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,1000,1000,1100,1100,1000,1100,1100,1000,1100,1100,1000
"14",1000,0.3,0.1,0,40,2000,1000,1000,1000,1000,1100,1000,1100,1100,1000,1100,1100,1000,1100,1100,1100,1000,1100,1100,1000,1000,1100
"15",1000,0.3,0.1,0,50,2000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1200,1200,1000,1100,1100,1000,1100,1000,1000,1000,1000,1000
